Source,Title,Person,Given,Given2,Surname,Maiden,Maiden2,Gender,Start,End,Remove,Header,Footer
200090122-echoes-vol_1.pdf,ErikaEckstut.txt,3,Erika,,Eckstut,Neuman,,F,12,12,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,TeachLove.txt,1,Erika,,Eckstut,Neuman,,F,13,14,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,LastingMemory.txt,1,Erika,,Eckstut,Neuman,,F,15,15,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,FrankEphraim.txt,3,Frank,,Ephraim,,,M,16,16,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,Sardines.txt,1,Frank,,Ephraim,,,M,17,17,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,ManyaFriedman.txt,3,Manya,,Friedman,,,F,30,30,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,OneSnowyNight.txt,1,Manya,,Friedman,,,F,31,33,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,MyRoadToFreedom.txt,1,Manya,,Friedman,,,F,34,38,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,DoNotForgetThem.txt,1,Manya,,Friedman,,,F,39,40,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,FritzGluckstein.txt,3,Fritz,,Gluckstein,,,M,42,42,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,31Minutes.txt,1,Fritz,,Gluckstein,,,M,43,43,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,EverydayHeroes.txt,1,Fritz,,Gluckstein,,,M,44,45,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,InTheDevilsDen.txt,1,Fritz,,Gluckstein,,,M,46,48,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,NesseGodin.txt,3,Nesse,,Godin,,,F,50,50,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,PetePhillips.txt,3,Pete,,Phillips,,,M,56,56,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,CharleneSchiff.txt,3,Shulamit,Charlene,Schiff,,,F,74,74,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,ThePromise.txt,1,Shulamit,Charlene,Schiff,,,F,75,77,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,TheHaystack-1942.txt,1,Shulamit,Charlene,Schiff,,,F,80,81,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,FloraMendelowitzSinger.txt,3,Flora,,Singer,Mendelowitz,,F,82,82,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,TheLightBlueEnsemble.txt,1,Flora,,Singer,Mendelowitz,,F,83,84,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,NewYork.txt,1,Flora,,Singer,Mendelowitz,,F,85,87,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,EstherRosenfeldStarobin.txt,3,Esther,,Starobin,Rosenfeld,,F,88,88,1,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090122-echoes-vol_1.pdf,TheGift.txt,1,Esther,,Starobin,Rosenfeld,,F,94,96,4,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,ErikasStory.txt,1,Erika,,Eckstut,,Kauder,F,12,15,6,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,ImagesEtchedIntoMyMind.txt,1,Manya,,Friedman,Moszkowicz,,F,24,27,6,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,MemoriesOfARemarkableWoman.txt,1,Manya,,Friedman,Moszkowicz,,F,28,30,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,TheirDestinationWasAuschwitz.txt,1,Manya,,Friedman,Moszkowicz,,F,31,34,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,FabrikAktion.txt,1,Fritz,,Gluckstein,,,M,36,39,6,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,TheFinalDays.txt,1,Fritz,,Gluckstein,,,M,40,42,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
