Noun,Count
family,82
time,66
father,58
man,56
sister,55
day,52
child,51
Mama,45
year,44
mother,42
parent,41
town,36
school,35
people,35
night,34
place,29
life,27
doll,27
war,26
Jews,26
brother,26
house,25
street,25
friend,25
camp,25
Germany,23
group,23
woman,23
part,22
one,22
Papa,22
building,22
way,21
SS,21
ghetto,20
girl,20
daughter,20
officer,19
home,19
Father,19
baby,19
Poland,18
member,17
United,17
States,17
food,17
work,17
line,17
army,16
soldier,16
Berlin,16
morning,16
window,16
dress,16
Heleneke,16
door,15
front,15
other,15
room,15
husband,14
snow,14
truck,14
face,13
water,13
month,13
hand,13
Bertl,13
story,12
head,12
grandmother,12
hour,12
Mrs.,12
Dirnfeld,12
deportation,11
son,11
coat,11
thing,11
business,11
city,11
boy,11
shoe,11
air,11
Germans,11
conversation,11
letter,11
question,10
field,10
factory,10
Auschwitz,10
car,10
visit,10
body,10
fear,10
word,10
eye,10
outfit,10
America,10
Aunt,10
England,10
Harreke,10
